slug,name,count
dabo,Dabo,163
cosrx,COSRX,91
cerave,CeraVe,90
some-by-mi,Some By Mi,76
skin1004,SKIN1004,70
neutrogena,Neutrogena,63
innisfree,Innisfree,60
cos-de-baha,Cos De BAHA,60
aplb,APLB,58
anua,ANUA,50
maybelline,Maybelline,47
purito,Purito,46
the-body-shop,The Body Shop,45
3w-clinic,3W Clinic,42
the-ordinary,The Ordinary,42
isntree,Isntree,40
numbuzin,Numbuzin,39
beauty-of-joseon,Beauty of Joseon,35
beauty-glazed,Beauty Glazed,31
simple,Simple,30
mary-may,Mary & May,30
missha,Missha,29
axis-y,AXIS-Y,28
the-inkey-list,The Inkey List,28
nivea,Nivea,26
la-roche-posay,La Roche-Posay,26
im-from,I'M FROM,24
cetaphil,Cetaphil,24
tiam,Tiam,24
benton,Benton,6
haruharu-wonder,HaruHaru Wonder,24
round-lab,Round Lab,21
raip,RAIP,3
jumiso,Jumiso,20
dr-althea,Dr. Althea,20
ryo,Ryo,14
neogen,Neogen,19
iunik,Iunik,19
rovectin,Rovectin,19
pyunkang-yul,Pyunkang Yul,18
medicube,Medicube,18
skinfood,Skin Food,13
laneige,Laneige,5
bath-body-works,Bath & Body Works,18
skino,SKINO,18
bioderma,Bioderma,17
izeze,IZEZE,16
garnier,Garnier,15
ksecret,KSECRET,15
illiyoon,Illiyoon,14
the-face-shop,The Face Shop,5
eucerin,Eucerin,13
coxir,Coxir,13
hada-labo,Hada Labo,13
mise-en-scene,Mise En Scene,2
bad-skin,Bad Skin,13
dear-klairs,Dear Klairs,12
aveeno,Aveeno,11
palmers,Palmer's,11
nature-republic,Nature Republic,11
etude-house,Etude House,2
torriden,Torriden,11
house-of-hur,House of Hur,11
green-finger,Green Finger,11
holika-holika,Holika Holika,2
rated-green,Rated Green,10
biore,Biore,9
carenel,Carenel,9
goodal,Goodal,9
mixsoon,Mixsoon,9
arencia,Arencia,9
tonymoly,TONYMOLY,1
be-the-skin,Be The Skin,9
freeman,freeman,8
banila-co,Banila Co.,8
by-wishtrend,By Wishtrend,7
paxmoly,Paxmoly,7
tirtir,TIRTIR,7
vt-cosmetics,VT Cosmetics,7
paulas-choice,Paula's Choice,7
nineless,Nineless,7
heimish,Heimish,6
shiseido,Shiseido,6
rohto,Rohto Mentholatum,6
mamaearth,Mamaearth,6
laikou,Laikou,6
sebamed,Sebamed,5
jigott,Jigott,5
mielle,Mielle,5
tocobo,Tocobo,5
medi-peel,Medi-peel,2
aestura,Aestura,3
welcos,Welcos,5
lebelage,Lebelage,3
panoxyl,PanOxyl,5
bellflower,Bellflower,5
skin-o,Skin'o,5
april-skin,April Skin,5
athena,Athena,4
bonajour,Bonajour,4
rohto-mentholatum,Rohto Mentholatum,4
kojie-san,Kojie San,4
korea-red-ginseng,Korea Red Ginseng,4
dr-ceuracle,Dr. Ceuracle,4
boots,Boots,3
superdrug,Superdrug,3
rajkonna,Rajkonna,3
apieu,Apieu,3
acwell,ACWELL,1
differin,Differin,3
kerasys,Kerasys,12
essence,essence,17
imagic,IMAGIC Cosmetics,3
veet,Veet,2
banilla-co,Banila Co.,2
beauty-formulas,Beauty Formulas,2
nair,Nair,2
vaseline,Vaseline,2
manyo,Manyo,2
farmstay,Farm Stay,2
skinmiso,Skinmiso,2
celimax,Celimax,1
abib,ABIB,2
bioaqua,BIOAQUA,2
insight,INSIGHT,2
lmltop,LMLTOP,2
laxzin,Laxzin,2
minimalist,Minimalist,2
sunsilk,Sunsilk,2
gillette,Gillette,1
dove,Dove,1
seba-med,Seba Med,1
sabamed,Sabamed,1
cold-pressed,Cold Pressed,1
neko,Neko,1
farm-stay,Farm Stay,1
miyako,Miyako,1
beaute-melasma-x-hyluronic,beaute melasma X Hyluronic,1
beaute-melasma-x,Beaute melasma X,1
beaute-melasma-x-collagen,beaute melasma X Collagen,1
embla,Embla,1
sulwhasoo,Sulwhasoo,1
vanicream,Vanicream,1
atomy,Atomy,1
ongredients,Ongredients,1
ahc,AHC,1
cezanne,Cezanne,1
ample-n,AMPLE:N,1
lucido,Lucido,1
plu365,Plu365,1
eqqualberry,Eqqualberry,1
byphasse,Byphasse,1
valentine,Valentine,1
hawaa,Hawaa,1
concealar,Concealar,1
revolution,Revolution,0
rivaj,Rivaj,1
wishcare,WishCare,1
yanagiya,Yanagiya,1
korean,Korea,1
care-nel,Carenel,1
zeze,ZEZE,1
sungboon-editor,Sungboon Editor,1
