import_id,import_title,import_categories,import_price,reason,old_id,old_title,old_categories,old_price
92840,Anua Heartleaf Pore Control Cleansing Oil Mild 200ml,Face Cleansers,2100,same_base_same_size,57471,Anua Heartleaf Pore Control Cleansing Oil 200ml mild,"K-Beauty &amp; J-Beauty, Korean Beauty, Makeup &amp; Cosmetics, Makeup Remover, Pores &amp; Oil Control, SHOP BY CONCERN",2100
92850,SOME BY MI Yuja Niacin Anti Blemish Cream 60ml,Cream/Moisturizer,1700,same_base_same_amount_ml_g,61678,Some By Mi Yuja Niacin Anti Blemish Cream 60 g,"Acne &amp; Blemish Care, K-Beauty &amp; J-Beauty, Korean Beauty, SHOP BY CONCERN",1750
92858,MEDICUBE Deep Vita C Capsule Cream 55g,Cream/Moisturizer,2500,same_base_same_amount_ml_g,58506,Medicube Deep Vita C Capsule Cream 55ml,"K-Beauty &amp; J-Beauty, Korean Beauty, Melasma",2500
92864,Cos De Baha Niacinamide 20% + Zinc 4% Serum 30ml (NZ),"Serums, Ampoules &amp; Essences",990,same_base_same_size,43807,Cos De BAHA Niacinamide 20% + Zinc 4% Serum (NZ) 30ml,"Melasma, Serums, Ampoules &amp; Essences, SHOP BY CONCERN, Skincare Essentials",1300
92868,Cos De Baha Centella Asiatica Recovery Serum 30ml(CH),"Serums, Ampoules &amp; Essences",950,same_base_same_size,43768,Cos De BAHA Centella Asiatica Recovery Serum (CH) 30ml,"Acne &amp; Blemish Care, Serums, Ampoules &amp; Essences, Skincare Essentials",1200
92872,Cos De BAHA M.A. Peptide Serum 60ml (P),"Serums, Ampoules &amp; Essences",1500,same_base_same_size,43794,Cos De BAHA M.A Peptide Serum (P) 60ml,"Anti-Aging &amp; Repair, Serums, Ampoules &amp; Essences, SHOP BY CONCERN, Skincare Essentials",1500
92874,Cos De BAHA Glycolic Acid 10% AHA Serum 30ml (G),"Serums, Ampoules &amp; Essences",1100,same_base_same_size,43774,Cos De BAHA Glycolic Acid 10% AHA Serum (G) 30ml,"Acne &amp; Blemish Care, Serums, Ampoules &amp; Essences, Skincare Essentials",1200
92880,Cosrx Low pH Good Morning Gel Cleanser 50ml (Mini),Face Cleansers,550,same_base_same_size,58195,COSRX Low pH Good Morning Gel Cleanser 50ml,"Face Cleansers, K-Beauty &amp; J-Beauty, Korean Beauty, Skincare Essentials",650
92940,COS DE BAHA RETINOL 2.5% SERUM 30ML (RS),"Serums, Ampoules &amp; Essences",950,same_base_same_size,43816,Cos De BAHA Retinol 2.5% Serum (RS) 30ml,"Anti-Aging &amp; Repair, Serums, Ampoules &amp; Essences, SHOP BY CONCERN, Skincare Essentials",1300
92946,Cos De BAHA 2% Hydroquinone Brightening Serum 30ml (HB),"Serums, Ampoules &amp; Essences",1100,same_base_same_size,26747,Cos De BAHA 2% Hydroquinone Brightening Serum HB 30ml,"Melasma, Serums, Ampoules &amp; Essences, SHOP BY CONCERN, Skincare Essentials",1100
92956,Shiseido Fino Premium Touch Hair Oil 70g,Hair Oil,1500,same_base_same_amount_ml_g,58289,Shiseido Fino Premium Touch Hair Oil 70ml,"Hair &amp; Personal Care, Hair Care, Hair Oil, Japanese Beauty, K-Beauty &amp; J-Beauty",1900.0
92960,RAIP R3 Argan Hair Oil Grapefruit 100ml,Hair Oil,900,same_base_same_size,61616,Raip R3 Argan Hair Oil 100 ml - GRAPEFRUIT,"Hair &amp; Personal Care, Hair Care, Hair Oil",950
92962,RAIP R3 Argan Hair Oil Unscented 100ml,Hair Oil,900,same_base_same_size,61693,Raip R3 Argan Hair Oil 100 ml - UNSCENTED,"Hair &amp; Personal Care, Hair Care, Hair Oil",950
92964,Neutrogena Ultra Sheer Dry-Touch Sunscreen Broad Spectrum SPF 70 88ml,Sunscreen,1900,exact_cleaned_title,63705,Neutrogena Ultra Sheer Dry-Touch Sunscreen Broad Spectrum SPF 45 &#8211; 88ml,"Skincare Essentials, Sunscreen",1150.0
92974,Cosrx Centella Blemish Cream 30g,Cream/Moisturizer,1300,same_base_same_size,4262,COSRX Centella Blemish Cream 30gm,"Acne &amp; Blemish Care, K-Beauty &amp; J-Beauty, Korean Beauty, SHOP BY CONCERN",1400
92988,Anua Heartleaf 77% Soothing Toner 40ml [mini],Toners &amp; Mists,550,same_base_same_size,53311,ANUA Heartleaf 77% Soothing Toner 40ml,"Dryness &amp; Hydration, K-Beauty &amp; J-Beauty, Korean Beauty, Skincare Essentials, Toners &amp; Mists",650.0
93024,Innisfree No sebum mineral powder 5g,Skincare Essentials,800,same_base_same_size,2914,Innisfree No Sebum Mineral Powder 5gm,"K-Beauty &amp; J-Beauty, Korean Beauty, Pores &amp; Oil Control, SHOP BY CONCERN",850
